Cell type	Marker gene	Reference
Mast cell	Cma1	https://www.ncbi.nlm.nih.gov/pubmed/8468056
Mast cell	Tph1	http://jem.rupress.org/content/209/11/2127.long
Mast cell	Papss2	https://www.immgen.org/ImmGenPublications/ni.3445.pdf
Mast cell	Fcer1a	http://jem.rupress.org/content/early/2017/08/15/jem.20170910
Mast cell	Gzmb	https://www.ncbi.nlm.nih.gov/pubmed/17599099
Basophil	Hgf	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3421954/
Basophil	Ccl3	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2711559/
Basophil	Slpi	
Eosinophil	Prg3	
Eosinophil	Epx	http://www.jbc.org/content/289/25/17406.full
Eosinophil	Prg2	
Megakaryocyte	Ppbp	https://www.ncbi.nlm.nih.gov/pubmed/9334192
Megakaryocyte	Thbs1	
Megakaryocyte	Pf4	https://www.ncbi.nlm.nih.gov/pubmed/17032923
Megakaryocyte	Timp3	http://www.bloodjournal.org/content/bloodjournal/118/7/1903.full.pdf?sso-checked=true
Monocyte	Ms4a6d	http://journals.plos.org/plosone/article?id=10.1371/journal.pone.0164027
Monocyte	Fabp5	https://www.ncbi.nlm.nih.gov/pubmed/26105806
Monocyte	Ctss	https://www.ncbi.nlm.nih.gov/pubmed/16365419
Monocyte	Ms4a6c	http://journals.plos.org/plosone/article?id=10.1371/journal.pone.0164027
Monocyte	Tgfbi	http://journals.plos.org/plosone/article?id=10.1371/journal.pone.0072772
Monocyte	Olfm1	https://www.nature.com/articles/s41698Ð017-0031Ð0/tables/1
Monocyte	Csf1r	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5009875/
Monocyte	Ccr2	https://www.nature.com/articles/nri2999
Monocyte	Klf4	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2230668/
Monocyte	F13a1	http://www.jimmunol.org/content/177/10/7303
Neutrophil	S100a9	http://www.jimmunol.org/content/jimmunol/170/6/3233.full.pdf
Neutrophil	Itgb2l	https://www.ncbi.nlm.nih.gov/pubmed/15922663
Neutrophil	Elane	
Neutrophil	Fcnb	https://www.ncbi.nlm.nih.gov/pubmed/22459270
Neutrophil	Mpo	http://www.bloodjournal.org/content/117/3/953
Neutrophil	Prtn3	https://www.ncbi.nlm.nih.gov/pubmed/9925946
Neutrophil	S100a6	"Neutrophils, The: New Outlook For Old Cells (3rd Edition), page 312"
Neutrophil	S100a8	"Neutrophils, The: New Outlook For Old Cells (3rd Edition), page 312"
Neutrophil	Lcn2	https://www.ncbi.nlm.nih.gov/pubmed/22965758
Neutrophil	Lrg1	https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0170261
Lymphoid	Ighm	
Lymphoid	Satb1	http://www.bloodjournal.org/content/126/23/2356
Lymphoid	Dntt	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3012962/
Lymphoid	Ctr9	https://www.ncbi.nlm.nih.gov/pubmed/24420920
Lymphoid	Jchain	
Migratory (ccr7+) DC	"H2-Eb1, H2-Aa, H2-Ab1, H2-DMb1"	https://www.nature.com/articles/nri3818
Migratory (ccr7+) DC	Ccr7	https://www.ncbi.nlm.nih.gov/pubmed/16393963
Plasmacytoid DC	Siglech	https://www.ncbi.nlm.nih.gov/pubmed/16397130
Erythroid	Hbb-bs	
Classical DC	Cst3	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3853342/
Classical DC	Xcr1	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3399095/
B cell	Vpreb1	
B cell	Vpreb2	
B cell	Cd79a	
T cell	Bcl11b	https://www.ncbi.nlm.nih.gov/pubmed/20969590
T cell	Trdc	
T cell	Lck	https://www.ncbi.nlm.nih.gov/pubmed/10848956
NK cell	Gzma	https://www.ncbi.nlm.nih.gov/pubmed/12355441
		https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5847168/
