MGI Gene/Marker ID	Symbol	Name	Chr	Qualifier	Annotated Term	Context	Proteoform	Evidence	Inferred From	Reference(s)
MGI:106675	Adipoq	adiponectin, C1Q and collagen domain containing	16		collagen trimer			IEA	KW-0176 	J:60000 	
MGI:88223	C1qa	complement component 1, q subcomponent, alpha polypeptide	4		collagen trimer			IEA	KW-0176 	J:60000 	
MGI:88224	C1qb	complement component 1, q subcomponent, beta polypeptide	4		collagen trimer			IEA	KW-0176 	J:60000 	
MGI:88225	C1qc	complement component 1, q subcomponent, C chain	4		collagen trimer			IEA	KW-0176 	J:60000 	
MGI:1344400	C1ql1	complement component 1, q subcomponent-like 1	11		collagen trimer			IEA	KW-0176 	J:60000 	
MGI:3032521	C1ql2	complement component 1, q subcomponent-like 2	1		collagen trimer			IEA	KW-0176 	J:60000 	
MGI:2387350	C1ql3	C1q-like 3	2		collagen trimer			IEA	KW-0176 	J:60000 	
MGI:3579909	C1ql4	complement component 1, q subcomponent-like 4	15		collagen trimer			IEA	KW-0176 	J:60000 	
MGI:1919254	C1qtnf1	C1q and tumor necrosis factor related protein 1	11		collagen trimer			IEA	KW-0176 	J:60000 	
MGI:1916433	C1qtnf2	C1q and tumor necrosis factor related protein 2	11		collagen trimer			IEA	KW-0176 	J:60000 	
MGI:1932136	C1qtnf3	C1q and tumor necrosis factor related protein 3	15		collagen trimer			IEA	KW-0176 	J:60000 	
MGI:1919959	C1qtnf6	C1q and tumor necrosis factor related protein 6	15		collagen trimer			IEA	KW-0176 	J:60000 	
MGI:1925911	C1qtnf7	C1q and tumor necrosis factor related protein 7	5		collagen trimer			IEA	KW-0176 	J:60000 	
MGI:3045252	C1qtnf9	C1q and tumor necrosis factor related protein 9	14		collagen trimer			IEA	KW-0176 	J:60000 	
MGI:2445053	Ccbe1	collagen and calcium binding EGF domains 1	18		collagen trimer			IEA	KW-0176 	J:60000 	
MGI:88467	Col1a1	collagen, type I, alpha 1	11		collagen trimer	is a part of skin		IDA		J:34409 	
MGI:88467	Col1a1	collagen, type I, alpha 1	11		collagen trimer	is a part of dermis,is a part of fibroblast		IDA		J:59168 	
MGI:88467	Col1a1	collagen, type I, alpha 1	11		collagen trimer			IDA		J:22301 J:113133 J:128284 	
MGI:88467	Col1a1	collagen, type I, alpha 1	11		collagen trimer	is a part of aorta,is a part of aorta		IMP	MGI:2179405 	J:92016 	
MGI:88467	Col1a1	collagen, type I, alpha 1	11		collagen type I trimer			IBA	PTN001166556 	J:265628 	
MGI:88467	Col1a1	collagen, type I, alpha 1	11		collagen type I trimer	is a part of tooth		IDA		J:19003 	
MGI:88467	Col1a1	collagen, type I, alpha 1	11		collagen type I trimer	is a part of dermis connective tissue,is a part of dermis connective tissue		IMP	MGI:1857154 	J:26504 	
MGI:88467	Col1a1	collagen, type I, alpha 1	11		collagen type I trimer			ISO	P02452 	J:164563 	
MGI:88468	Col1a2	collagen, type I, alpha 2	6		collagen trimer	is a part of skin		IDA		J:34409 	
MGI:88468	Col1a2	collagen, type I, alpha 2	6		collagen trimer	is a part of dermis,is a part of fibroblast		IDA		J:59168 	
MGI:88468	Col1a2	collagen, type I, alpha 2	6		collagen trimer			IDA		J:128284 	
MGI:88468	Col1a2	collagen, type I, alpha 2	6		collagen type I trimer			IBA	PTN002770820 	J:265628 	
MGI:88468	Col1a2	collagen, type I, alpha 2	6		collagen type I trimer			IDA		J:20667 	
MGI:88468	Col1a2	collagen, type I, alpha 2	6		collagen type I trimer			ISO	P08123 	J:164563 	
MGI:88452	Col2a1	collagen, type II, alpha 1	15		collagen trimer			IBA	PTN002771202 	J:265628 	
MGI:88452	Col2a1	collagen, type II, alpha 1	15		collagen trimer	is a part of long bone epiphyseal plate		IDA		J:166870 	
MGI:88452	Col2a1	collagen, type II, alpha 1	15		collagen trimer			IDA		J:128357 	
MGI:88452	Col2a1	collagen, type II, alpha 1	15		collagen type II trimer			IBA	PTN001166557 	J:265628 	
MGI:88452	Col2a1	collagen, type II, alpha 1	15		collagen type II trimer	is a part of scapula,is a part of chondrocyte|is a part of humerus,is a part of chondrocyte		IDA		J:52896 	
MGI:88452	Col2a1	collagen, type II, alpha 1	15		collagen type II trimer	is a part of EMAPA:35508		IMP	MGI:1857275 	J:6582 	
MGI:88452	Col2a1	collagen, type II, alpha 1	15		collagen type II trimer			ISO	P02458 	J:164563 	
MGI:88453	Col3a1	collagen, type III, alpha 1	1		collagen trimer	is a part of skin		IDA		J:34409 	
MGI:88453	Col3a1	collagen, type III, alpha 1	1		collagen trimer			IDA		J:128284 	
MGI:88453	Col3a1	collagen, type III, alpha 1	1		collagen type III trimer			IDA		J:20667 	
MGI:88453	Col3a1	collagen, type III, alpha 1	1		collagen type III trimer			ISO	P02461 	J:164563 	
MGI:88454	Col4a1	collagen, type IV, alpha 1	8		collagen trimer			IEA	IPR001442 IPR036954 	J:72247 	
MGI:88454	Col4a1	collagen, type IV, alpha 1	8		collagen trimer			IEA	KW-0176 	J:60000 	
MGI:88454	Col4a1	collagen, type IV, alpha 1	8		collagen type IV trimer			IDA		J:78275 	
MGI:88454	Col4a1	collagen, type IV, alpha 1	8		collagen type IV trimer			ISO	P02462 	J:164563 	
MGI:88455	Col4a2	collagen, type IV, alpha 2	8		collagen trimer			IEA	IPR001442 IPR036954 	J:72247 	
MGI:88455	Col4a2	collagen, type IV, alpha 2	8		collagen trimer			IEA	KW-0176 	J:60000 	
MGI:88455	Col4a2	collagen, type IV, alpha 2	8		collagen type IV trimer			IBA	PTN002770666 	J:265628 	
MGI:88455	Col4a2	collagen, type IV, alpha 2	8		collagen type IV trimer			IDA		J:78275 	
MGI:104688	Col4a3	collagen, type IV, alpha 3	1		collagen trimer			IEA	IPR001442 IPR036954 	J:72247 	
MGI:104688	Col4a3	collagen, type IV, alpha 3	1		collagen trimer			IEA	KW-0176 	J:60000 	
MGI:104688	Col4a3	collagen, type IV, alpha 3	1		collagen type IV trimer			IDA		J:78275 	
MGI:104688	Col4a3	collagen, type IV, alpha 3	1		collagen type IV trimer			ISO	Q01955 	J:164563 	
MGI:104687	Col4a4	collagen, type IV, alpha 4	1		collagen trimer			IEA	IPR001442 IPR036954 	J:72247 	
MGI:104687	Col4a4	collagen, type IV, alpha 4	1		collagen trimer			IEA	KW-0176 	J:60000 	
MGI:104687	Col4a4	collagen, type IV, alpha 4	1		collagen type IV trimer			IBA	PTN002513086 	J:265628 	
MGI:104687	Col4a4	collagen, type IV, alpha 4	1		collagen type IV trimer			IDA		J:21122 	
MGI:104687	Col4a4	collagen, type IV, alpha 4	1		collagen type IV trimer			ISO	P53420 	J:164563 	
MGI:88456	Col4a5	collagen, type IV, alpha 5	X		collagen type IV trimer			IDA		J:78275 	
MGI:2152695	Col4a6	collagen, type IV, alpha 6	X		collagen type IV trimer			IBA	PTN002770666 	J:265628 	
MGI:2152695	Col4a6	collagen, type IV, alpha 6	X		collagen type IV trimer			IDA		J:70987 J:78275 	
MGI:88457	Col5a1	collagen, type V, alpha 1	2		collagen trimer			IDA		J:128357 J:113133 	
MGI:88457	Col5a1	collagen, type V, alpha 1	2		collagen trimer			IMP	MGI:3664598 	J:112728 	
MGI:88457	Col5a1	collagen, type V, alpha 1	2		collagen type V trimer			IBA	PTN002771332 	J:265628 	
MGI:88457	Col5a1	collagen, type V, alpha 1	2		collagen type V trimer			ISO	P20908 	J:164563 	
MGI:88458	Col5a2	collagen, type V, alpha 2	1		collagen trimer			IDA		J:22301 	
MGI:88458	Col5a2	collagen, type V, alpha 2	1		collagen type V trimer			IBA	PTN002770842 	J:265628 	
MGI:88458	Col5a2	collagen, type V, alpha 2	1		collagen type V trimer			ISO	P05997 	J:164563 	
MGI:1858212	Col5a3	collagen, type V, alpha 3	9		collagen type V trimer			IDA		J:99592 	
MGI:1858212	Col5a3	collagen, type V, alpha 3	9		collagen type V trimer			ISS		J:61325 	
MGI:88459	Col6a1	collagen, type VI, alpha 1	10		collagen trimer			IEA	KW-0176 	J:60000 	
MGI:88460	Col6a2	collagen, type VI, alpha 2	10		collagen trimer			IEA	KW-0176 	J:60000 	
MGI:88461	Col6a3	collagen, type VI, alpha 3	1		collagen trimer			IDA		J:208903 	
