MGI Gene/Marker ID	Symbol	Name	Chr	Qualifier	Annotated Term	Context	Proteoform	Evidence	Inferred From	Reference(s)
MGI:1925709	1700057G04Rik	RIKEN cDNA 1700057G04 gene	9		collagen-containing extracellular matrix			ISO	O15162 	J:164563 	
MGI:1916792	2300002M23Rik	RIKEN cDNA 2300002M23 gene	17		extracellular matrix			IBA	PTN001438794 	J:265628 	
MGI:1916792	2300002M23Rik	RIKEN cDNA 2300002M23 gene	17		extracellular matrix			IDA		J:139122 	
MGI:1916792	2300002M23Rik	RIKEN cDNA 2300002M23 gene	17		interstitial matrix	is a part of cartilage		IDA		J:139122 	
MGI:2442118	9530053A07Rik	RIKEN cDNA 9530053A07 gene	7		extracellular matrix			IBA	PTN000885756 	J:265628 	
MGI:2444583	Abi3bp	ABI family member 3 binding protein	16		collagen-containing extracellular matrix	is a part of lung|is a part of colon	UniProtKB:Q59IW6	HDA		J:265604 	
MGI:2444583	Abi3bp	ABI family member 3 binding protein	16		collagen-containing extracellular matrix			IBA	PTN002754873 	J:265628 	
MGI:2444583	Abi3bp	ABI family member 3 binding protein	16		extracellular matrix			IDA		J:139122 	
MGI:2444583	Abi3bp	ABI family member 3 binding protein	16		interstitial matrix	is a part of tendon|is a part of ligament		IDA		J:139122 	
MGI:99602	Acan	aggrecan	7		basement membrane	is a part of metanephros		IDA		J:102464 	
MGI:99602	Acan	aggrecan	7		extracellular matrix			IBA	PTN001105676 	J:265628 	
MGI:99602	Acan	aggrecan	7		extracellular matrix	is a part of tibia		IDA		J:128547 	
MGI:99602	Acan	aggrecan	7		extracellular matrix			IDA		J:86321 	
MGI:99602	Acan	aggrecan	7		perineuronal net			ISO	RGD:68358 	J:155856 	
MGI:99602	Acan	aggrecan	7		perisynaptic extracellular matrix	is a part of glutamatergic synapse,is a part of hippocampal formation		IDA		J:263381 	
MGI:99602	Acan	aggrecan	7		perisynaptic extracellular matrix	is a part of GABA-ergic synapse,is a part of hippocampal formation		IDA		J:263381 	
MGI:87876	Ache	acetylcholinesterase	5		basement membrane	is a part of EMAPA:32716		IDA		J:23783 	
MGI:109548	Adam10	a disintegrin and metallopeptidase domain 10	9		collagen-containing extracellular matrix	is a part of lung		HDA		J:265604 	
MGI:109548	Adam10	a disintegrin and metallopeptidase domain 10	9		collagen-containing extracellular matrix	is a part of islets of Langerhans		HDA		J:265607 	
MGI:105377	Adam19	a disintegrin and metallopeptidase domain 19 (meltrin beta)	11		collagen-containing extracellular matrix	is a part of lung		HDA		J:265604 	
MGI:109249	Adamts1	a disintegrin-like and metallopeptidase (reprolysin type) with thrombospondin type 1 motif, 1	16		basement membrane	is a part of metanephros		IDA		J:102464 	
MGI:109249	Adamts1	a disintegrin-like and metallopeptidase (reprolysin type) with thrombospondin type 1 motif, 1	16		collagen-containing extracellular matrix			ISO	RGD:621241 	J:155856 	
MGI:109249	Adamts1	a disintegrin-like and metallopeptidase (reprolysin type) with thrombospondin type 1 motif, 1	16		extracellular matrix			IBA	PTN000347317 	J:265628 	
MGI:109249	Adamts1	a disintegrin-like and metallopeptidase (reprolysin type) with thrombospondin type 1 motif, 1	16		extracellular matrix			IDA		J:54300 J:86134 	
MGI:1347356	Adamts2	a disintegrin-like and metallopeptidase (reprolysin type) with thrombospondin type 1 motif, 2	11		collagen-containing extracellular matrix			IEA	IPR013275 	J:72247 	
MGI:1347356	Adamts2	a disintegrin-like and metallopeptidase (reprolysin type) with thrombospondin type 1 motif, 2	11		extracellular matrix			IBA	PTN000347317 	J:265628 	
MGI:1347356	Adamts2	a disintegrin-like and metallopeptidase (reprolysin type) with thrombospondin type 1 motif, 2	11		extracellular matrix			IDA		J:107394 	
MGI:3045353	Adamts3	a disintegrin-like and metallopeptidase (reprolysin type) with thrombospondin type 1 motif, 3	5		extracellular matrix			IBA	PTN000347317 	J:265628 	
MGI:1339949	Adamts4	a disintegrin-like and metallopeptidase (reprolysin type) with thrombospondin type 1 motif, 4	1		collagen-containing extracellular matrix	is a part of fibroblast		HDA		J:213088 	
MGI:1339949	Adamts4	a disintegrin-like and metallopeptidase (reprolysin type) with thrombospondin type 1 motif, 4	1		extracellular matrix			IBA	PTN000347317 	J:265628 	
MGI:1346321	Adamts5	a disintegrin-like and metallopeptidase (reprolysin type) with thrombospondin type 1 motif, 5 (aggrecanase-2)	16		collagen-containing extracellular matrix			IEA	IPR013276 	J:72247 	
MGI:1346321	Adamts5	a disintegrin-like and metallopeptidase (reprolysin type) with thrombospondin type 1 motif, 5 (aggrecanase-2)	16		extracellular matrix			IBA	PTN000347317 	J:265628 	
MGI:1347348	Adamts6	a disintegrin-like and metallopeptidase (reprolysin type) with thrombospondin type 1 motif, 6	13		extracellular matrix			IBA	PTN000347317 	J:265628 	
MGI:1347346	Adamts7	a disintegrin-like and metallopeptidase (reprolysin type) with thrombospondin type 1 motif, 7	9		extracellular matrix			IBA	PTN000347317 	J:265628 	
MGI:1353468	Adamts8	a disintegrin-like and metallopeptidase (reprolysin type) with thrombospondin type 1 motif, 8	9		collagen-containing extracellular matrix			IEA	IPR013277 	J:72247 	
MGI:1353468	Adamts8	a disintegrin-like and metallopeptidase (reprolysin type) with thrombospondin type 1 motif, 8	9		extracellular matrix			IBA	PTN000347317 	J:265628 	
MGI:1916320	Adamts9	a disintegrin-like and metallopeptidase (reprolysin type) with thrombospondin type 1 motif, 9	6		extracellular matrix			IBA	PTN000347317 	J:265628 	
