MGI Gene/Marker ID	Symbol	Name	Chr	Qualifier	Annotated Term	Context	Proteoform	Evidence	Inferred From	Reference(s)
MGI:2449119	A2m	alpha-2-macroglobulin	6		brain-derived neurotrophic factor binding			ISO	RGD:2004 	J:155856 	
MGI:2449119	A2m	alpha-2-macroglobulin	6		growth factor binding			ISO	P01023 	J:164563 	
MGI:2449119	A2m	alpha-2-macroglobulin	6		interleukin-1 binding			ISO	P01023 	J:164563 	
MGI:2449119	A2m	alpha-2-macroglobulin	6		nerve growth factor binding			ISO	RGD:2004 	J:155856 	
MGI:87911	Acvr1	activin A receptor, type 1	2		growth factor binding			IDA		J:25557 	
MGI:87911	Acvr1	activin A receptor, type 1	2		transforming growth factor beta binding			IDA		J:77383 	
MGI:87911	Acvr1	activin A receptor, type 1	2		transforming growth factor beta binding			ISO	Q04771 	J:164563 	
MGI:1338944	Acvr1b	activin A receptor, type 1B	15	contributes_to	growth factor binding			ISO	P36896 	J:164563 	
MGI:2661081	Acvr1c	activin A receptor, type IC	2		growth factor binding			ISO	Q8NER5 	J:164563 	
MGI:102806	Acvr2a	activin receptor IIA	2		growth factor binding			IMP	O95390 	J:79880 	
MGI:102806	Acvr2a	activin receptor IIA	2		growth factor binding			IPI	PR:O08689 	J:70668 	
MGI:87912	Acvr2b	activin receptor IIB	9		growth factor binding			IMP	O95390 	J:79880 	
MGI:87912	Acvr2b	activin receptor IIB	9		growth factor binding			IPI	PR:O08689 	J:70668 	
MGI:87912	Acvr2b	activin receptor IIB	9		growth factor binding			ISO	Q13705 	J:164563 	
MGI:87912	Acvr2b	activin receptor IIB	9	NOT	transforming growth factor beta binding			IDA		J:2521 	
MGI:1338946	Acvrl1	activin A receptor, type II-like 1	15		transforming growth factor beta binding			ISO	P37023 	J:164563 	
MGI:87961	Agrn	agrin	4		transforming growth factor beta binding			ISO	RGD:2067 	J:155856 	
MGI:1888993	Api5	apoptosis inhibitor 5	2		fibroblast growth factor binding			ISO	Q9BZZ5 	J:164563 	
MGI:1095407	Bmpr2	bone morphogenetic protein receptor, type II (serine/threonine kinase)	1		growth factor binding			ISO	RGD:71082 	J:155856 	
MGI:88613	Ccn1	cellular communication network factor 1	3		growth factor binding			IEA	KW-0340 	J:60000 	
MGI:88613	Ccn1	cellular communication network factor 1	3		insulin-like growth factor binding			IEA	IPR000867 	J:72247 	
MGI:95537	Ccn2	cellular communication network factor 2	10		insulin-like growth factor binding			IEA	IPR000867 	J:72247 	
MGI:109185	Ccn3	cellular communication network factor 3	15		insulin-like growth factor binding			IEA	IPR000867 	J:72247 	
MGI:1197008	Ccn4	cellular communication network factor 4	15		insulin-like growth factor binding			IEA	IPR000867 	J:72247 	
MGI:1328326	Ccn5	cellular communication network factor 5	2		insulin-like growth factor binding			IEA	IPR000867 	J:72247 	
MGI:2685581	Ccn6	cellular communication network factor 6	10		insulin-like growth factor binding			IEA	IPR000867 	J:72247 	
MGI:107899	Cd36	CD36 molecule	5		transforming growth factor beta binding			ISO	RGD:2301 	J:155856 	
MGI:2445221	Cd109	CD109 antigen	9		transforming growth factor beta binding			ISO	Q6YHK3 	J:164563 	
MGI:1915551	Cep57	centrosomal protein 57	9		fibroblast growth factor binding			ISO	Q86XR8 	J:164563 	
MGI:1915551	Cep57	centrosomal protein 57	9		fibroblast growth factor binding			ISS	Q86XR8 	J:83481 	
MGI:1933172	Chrdl1	chordin-like 1	X		transforming growth factor beta binding			IDA		J:69274 	
MGI:88467	Col1a1	collagen, type I, alpha 1	11		platelet-derived growth factor binding			ISO	P02452 	J:73065 	
MGI:88468	Col1a2	collagen, type I, alpha 2	6		platelet-derived growth factor binding			ISO	P08123 	J:73065 	
MGI:88452	Col2a1	collagen, type II, alpha 1	15		platelet-derived growth factor binding			ISO	P02458 	J:73065 	
MGI:88453	Col3a1	collagen, type III, alpha 1	1		platelet-derived growth factor binding			ISO	P02461 	J:73065 	
MGI:88454	Col4a1	collagen, type IV, alpha 1	8		platelet-derived growth factor binding			ISO	P02462 	J:73065 	
MGI:88457	Col5a1	collagen, type V, alpha 1	2		platelet-derived growth factor binding			ISO	P20908 	J:73065 	
MGI:88459	Col6a1	collagen, type VI, alpha 1	10		platelet-derived growth factor binding			ISO	P12109 	J:73065 	
MGI:1354756	Crim1	cysteine rich transmembrane BMP regulator 1 (chordin like)	17		insulin-like growth factor binding			IEA	IPR000867 	J:72247 	
MGI:1888499	Cxcl13	chemokine (C-X-C motif) ligand 13	5		fibroblast growth factor binding			ISO	O43927 	J:164563 	
MGI:105120	Dusp1	dual specificity phosphatase 1	17		growth factor binding			ISO	RGD:620897 	J:155856 	
MGI:95294	Egfr	epidermal growth factor receptor	11		epidermal growth factor binding			IBA	PTN002814603 	J:265628 	
MGI:95294	Egfr	epidermal growth factor receptor	11		epidermal growth factor binding			IDA		J:3764 	
MGI:95392	Eng	endoglin	2	contributes_to	transforming growth factor beta binding			IBA	PTN004450156 	J:265628 	
MGI:95392	Eng	endoglin	2		transforming growth factor beta binding			IDA		J:18318 	
MGI:95392	Eng	endoglin	2	contributes_to	transforming growth factor beta binding			ISO	P17813 	J:164563 	
MGI:95392	Eng	endoglin	2		transforming growth factor beta binding			ISO	P17813 	J:164563 	
MGI:95278	Epha2	Eph receptor A2	4		growth factor binding			ISO	P29317 	J:164563 	
MGI:99612	Epha3	Eph receptor A3	16		growth factor binding	uses UniProtKB:O08545		IPI	P52797 	J:297316 	
MGI:99612	Epha3	Eph receptor A3	16		growth factor binding			IPI	P52801 	J:297316 	
MGI:99654	Epha5	Eph receptor A5	5		growth factor binding			ISO	RGD:620831 	J:155856 	
MGI:95276	Epha7	Eph receptor A7	4		growth factor binding			IPI	P52797 	J:297316 	
MGI:109378	Epha8	Eph receptor A8	4		growth factor binding			IPI	P52793 	J:297316 	
MGI:95410	Erbb2	erb-b2 receptor tyrosine kinase 2	11	contributes_to	growth factor binding			ISO	P04626 	J:164563 	
MGI:95411	Erbb3	erb-b2 receptor tyrosine kinase 3	10		growth factor binding			ISO	P21860 	J:164563 	
MGI:95411	Erbb3	erb-b2 receptor tyrosine kinase 3	10		neuregulin binding			IBA	PTN002814617 	J:265628 	
MGI:95411	Erbb3	erb-b2 receptor tyrosine kinase 3	10		neuregulin binding			ISO	RGD:69323 	J:155856 	
MGI:95411	Erbb3	erb-b2 receptor tyrosine kinase 3	10		neuregulin binding			ISO	P21860 	J:164563 	
MGI:104771	Erbb4	erb-b2 receptor tyrosine kinase 4	1		neuregulin binding			ISO	A0A061IIH6 	J:32778 	
MGI:1918940	Esm1	endothelial cell-specific molecule 1	13		insulin-like growth factor binding			IEA	IPR000867 	J:72247 	
MGI:3614654	Fbxw7as1	F-box and WD-40 domain protein 7 antisense transcript 1	3		vascular endothelial growth factor binding			IDA		J:103174 	
MGI:1096350	Fgfbp1	fibroblast growth factor binding protein 1	5		fibroblast growth factor binding			IPI	PR:O35565 PR:P36363 PR:Q9ESS2 	J:100761 	
MGI:1096350	Fgfbp1	fibroblast growth factor binding protein 1	5		fibroblast growth factor binding			IPI	P15655 	J:171305 	
MGI:1096350	Fgfbp1	fibroblast growth factor binding protein 1	5		growth factor binding			IBA	PTN000391930 	J:265628 	
MGI:1919764	Fgfbp3	fibroblast growth factor binding protein 3	19		fibroblast growth factor binding			IPI	P15655 	J:171305 	
