MGI.symbol	HGNC.symbol
Bmp7	BMP7
Spon2	SPON2
Il2ra	IL2RA
Postn	POSTN
Fgfrl1	FGFRL1
Runx1	RUNX1
Chadl	CHADL
Ucma	UCMA
Ltbp2	LTBP2
Cpz	CPZ
Amelx	AMELX
Cst3	CST3
Mmp11	MMP11
Flt1	FLT1
Ndp	NDP
Col18a1	COL18A1
Elfn2	ELFN2
C1qtnf9	C1QTNF9
Pdxp	PDXP
Col6a2	COL6A2
Adamts1	ADAMTS1
Ccbe1	CCBE1
C1ql3	C1QL3
Atrn	ATRN
Frem2	FREM2
Itih2	ITIH2
Twsg1	TWSG1
Colec12	COLEC12
Lingo2	LINGO2
Lama5	LAMA5
Angpt4	ANGPT4
Itih5	ITIH5
Cstb	CSTB
Adamts5	ADAMTS5
Kl	KL
Lgals1	LGALS1
Pdgfb	PDGFB
Tgm2	TGM2
Clec14a	CLEC14A
Eda	EDA
Slit2	SLIT2
Lman1	LMAN1
Fbln1	FBLN1
Adamts7	ADAMTS7
F2	F2
Igf2	IGF2
Cd109	CD109
Htra1	HTRA1
Hcfc1	HCFC1
Bmper	BMPER
Mmp20	MMP20
Timp3	TIMP3
Ntf3	NTF3
Hap1	HAP1
Tgfb3	TGFB3
Adamts3	ADAMTS3
Mmp8	MMP8
Atrnl1	ATRNL1
Mamdc2	MAMDC2
C1qtnf9	C1QTNF9B
Adamts16	ADAMTS16
Fgfbp3	FGFBP3
Rbp3	RBP3
Mmrn1	MMRN1
Ccn5	CCN5
Serpine1	SERPINE1
Emid1	EMID1
Emilin2	EMILIN2
Lama1	LAMA1
Nrp1	NRP1
Igfbp4	IGFBP4
C1qtnf6	C1QTNF6
Col6a1	COL6A1
Ogn	OGN
Serpina3k	SERPINA3
Cela1	CELA1
Col15a1	COL15A1
Col17a1	COL17A1
Anxa1	ANXA1
Plxnb2	PLXNB2
Plxdc2	PLXDC2
Ang2	ANG
Bgn	BGN
Col4a5	COL4A5
Muc5ac	MUC5AC
Mmp7	MMP7
Mfap5	MFAP5
Alb	ALB
Adgrg6	ADGRG6
Adamtsl2	ADAMTSL2
Il2rg	IL2RG
Thbs1	THBS1
Gpc5	GPC5
Ctsz	CTSZ
Api5	API5
Sod3	SOD3
Il2rb	IL2RB
Ndnf	NDNF
Angptl2	ANGPTL2
Tnxb	TNXB
Cspg4	CSPG4
Pdap1	PDAP1
Vwc2	VWC2
Aspn	ASPN
Egfl6	EGFL6
Spon1	SPON1
Tinag	TINAG
Pdgfra	PDGFRA
Plod3	PLOD3
Mmp9	MMP9
Gpc6	GPC6
Lrrn3	LRRN3
Chrdl1	CHRDL1
Ang4	ANG
Muc5b	MUC5B
Sema3c	SEMA3C
Loxl2	LOXL2
Ang	ANG
Anxa11	ANXA11
Mmp24	MMP24
Wnt3	WNT3
Wfikkn1	WFIKKN1
Olfml2a	OLFML2A
Tril	TRIL
Cd36	CD36
Mmp21	MMP21
Scara3	SCARA3
Igfbp6	IGFBP6
Gsto1	GSTO1
Col5a1	COL5A1
Col4a2	COL4A2
Lama3	LAMA3
Cask	CASK
Col4a1	COL4A1
Col27a1	COL27A1
Timp1	TIMP1
Loxl1	LOXL1
Ang6	ANG
Tgfbr1	TGFBR1
Tnc	TNC
Frem3	FREM3
Msr1	MSR1
Tfip11	TFIP11
Fgg	FGG
Flt3	FLT3
Smoc1	SMOC1
Papln	PAPLN
Srpx2	SRPX2
Col19a1	COL19A1
Lrrn1	LRRN1
F13a1	F13A1
Thsd1	THSD1
Ptprz1	PTPRZ1
Itgb1	ITGB1
Tectb	TECTB
Fras1	FRAS1
Adamts12	ADAMTS12
Frem1	FREM1
Mfap1a	MFAP1
Serpinb6a	SERPINB6
Mbl2	MBL2
Serpinb1a	SERPINB1
Vasn	VASN
Anxa4	ANXA4
Fcnb	FCN1
Ambp	AMBP
Anxa6	ANXA6
Cthrc1	CTHRC1
Nid2	NID2
Reg3b	REG1B
Cd151	CD151
Igfbp2	IGFBP2
Epha3	EPHA3
Il36rn	IL36RN
Dcn	DCN
Anxa5	ANXA5
Prss1	PRSS3
Mmrn2	MMRN2
Nyx	NYX
Wnt6	WNT6
Ptn	PTN
Hmcn2	HMCN2
Rps19	RPS19
Fgfr2	FGFR2
Mfap1b	MFAP1
Adamts18	ADAMTS18
Fgf9	FGF9
Igfbpl1	IGFBPL1
Gpld1	GPLD1
Itgb3	ITGB3
Muc6	MUC6
Serpinf2	SERPINF2
Dspp	DSPP
Zp2	ZP2
Dmbt1	DMBT1
Epha5	EPHA5
Fgl2	FGL2
Igfals	IGFALS
Angptl3	ANGPTL3
Ncan	NCAN
Gm5771	PRSS3
Sdcbp	SDCBP
Angptl7	ANGPTL7
Tek	TEK
Adamts8	ADAMTS8
Svep1	SVEP1
Fbln2	FBLN2
A2m	A2M
Mmp16	MMP16
Adamts2	ADAMTS2
Matn1	MATN1
Prg2	PRG2
Omd	OMD
Rtn4rl2	RTN4RL2
Gh	GH2
Gh	CSH1
Pcsk6	PCSK6
Igfbp5	IGFBP5
Ccn4	CCN4
Col28a1	COL28A1
Fbln5	FBLN5
Klb	KLB
Npnt	NPNT
Lrrc3b	LRRC3B
Ctsd	CTSD
Egfl7	EGFL7
Crim1	CRIM1
Efemp2	EFEMP2
Nlrp2	NLRP2
Fgb	FGB
Ntng2	NTNG2
Itga3	ITGA3
Gpc1	GPC1
Fgf1	FGF1
Epha2	EPHA2
Krt1	KRT1
Reln	RELN
Plg	PLG
Bcam	BCAM
Tgm4	TGM4
Cd248	CD248
Lamc3	LAMC3
Serpinf1	SERPINF1
Kazald1	KAZALD1
Spock3	SPOCK3
Gpc4	GPC4
Zan	ZAN
Adamtsl3	ADAMTSL3
Gpc2	GPC2
Adamtsl1	ADAMTSL1
Clec3b	CLEC3B
Rarres2	RARRES2
Mmp14	MMP14
C1ql2	C1QL2
Wfikkn2	WFIKKN2
C1qtnf2	C1QTNF2
Zp3	ZP3
Colec11	COLEC11
Cep57	CEP57
Tgfbi	TGFBI
Serpinh1	SERPINH1
Vtn	VTN
Serpinb9	SERPINB9
Entpd1	ENTPD1
Hpse	HPSE
Ntn4	NTN4
Tgm3	TGM3
Fibcd1	FIBCD1
Cela2a	CELA2A
Cela2a	CELA2B
Glg1	GLG1
Fibp	FIBP
Cd180	CD180
Lgalsl	LGALSL
Lrrc17	LRRC17
Fbn2	FBN2
Gldn	GLDN
Chad	CHAD
Lama4	LAMA4
