geneSet	description	enrichmentRatio	pValue	FDR	alpha	lin	tr	sample_id
GO:0003684	damaged DNA binding	38.7457180500659	3.04751590229913e-06	0.0013835722196438	0	5	5	MDA2
GO:0098687	chromosomal region	12.1153529250206	6.84244692372715e-06	0.00155323545168606	0	5	5	MDA2
GO:0000793	condensed chromosome	14.9857317570322	1.63666813025598e-05	0.00247682443712072	0	5	5	MDA2
GO:0000803	sex chromosome	44.5575757575758	0.000906287398701022	0.0823037002140985	0	5	5	MDA2
GO:0044389	ubiquitin-like protein ligase binding	8.97132397803539	0.00090642841645483	0.0823037002140985	0	5	5	MDA2
GO:0032993	protein-DNA complex	12.3011712214166	0.0017640288388644	0.133478182140739	0	5	5	MDA2
GO:0140097	catalytic activity, acting on DNA	10.897233201581	0.00249167602774214	0.159530531309079	0	5	5	MDA2
GO:0042393	histone binding	10.4431818181818	0.00281111068386042	0.159530531309079	0	5	5	MDA2
GO:0000287	magnesium ion binding	9.50280051701853	0.00366822377833231	0.185041510595874	0	5	5	MDA2
GO:0005657	replication fork	19.3728590250329	0.00471827133875646	0.214209518779543	0	5	5	MDA2
GO:0044815	DNA packaging complex	17.8230303030303	0.00555090949087655	0.215490646839499	0	5	5	MDA2
GO:0000792	heterochromatin	17.5885167464115	0.0056957880221894	0.215490646839499	0	5	5	MDA2
GO:0005200	structural constituent of cytoskeleton	13.2349234923492	0.00986742354026948	0.344600791329411	0	5	5	MDA2
GO:0000790	nuclear chromatin	5.88003199146894	0.0137307996914995	0.445270218567198	0	5	5	MDA2
GO:0035326	enhancer binding	10.1267217630854	0.0164286823354782	0.497241452020474	0	5	5	MDA2
GO:0005874	microtubule	4.98778833107191	0.0212395412444026	0.602671982809925	0	5	5	MDA2
GO:0005635	nuclear envelope	4.40679320679321	0.0292893333997397	0.714635348375118	0	5	5	MDA2
GO:0043073	germ cell nucleus	33.4181818181818	0.0295210999047937	0.714635348375118	0	5	5	MDA2
GO:0008022	protein C-terminus binding	7.14827418570734	0.0314531330790064	0.714635348375118	0	5	5	MDA2
GO:0046982	protein heterodimerization activity	4.28438228438228	0.0314817334085955	0.714635348375118	0	5	5	MDA2
GO:0000217	DNA secondary structure binding	27.8484848484849	0.0353246338918164	0.763684942232602	0	5	5	MDA2
GO:0042287	MHC protein binding	23.8701298701299	0.0410950308393766	0.831725338168389	0	5	5	MDA2
