geneSet	description	enrichmentRatio	pValue	FDR	alpha	lin	tr	sample_id
GO:0048770	pigment granule	93.3587301587302	0.000150823595206351	0.0684739122236833	0	8	8	WM9832
GO:0098687	chromosomal region	8.47374395333811	0	0	0	7	7	WM9832
GO:0000793	condensed chromosome	11.8153399517872	0	0	0	7	7	WM9832
GO:0005819	spindle	6.99647539827999	1.33226762955019e-15	2.01616501271928e-13	0	7	7	WM9832
GO:0030496	midbody	7.95267552310448	1.71197611642526e-10	1.94309289214267e-08	0	7	7	WM9832
GO:0005874	microtubule	4.86285336324159	3.46035311515891e-10	3.14200062856429e-08	0	7	7	WM9832
GO:0044815	DNA packaging complex	11.3325626204239	1.67870524148128e-08	1.2702202993875e-06	0	7	7	WM9832
GO:0031491	nucleosome binding	9.99931995919755	1.26567398095467e-06	8.2087998193346e-05	0	7	7	WM9832
GO:0005875	microtubule associated complex	5.74285267926886	9.86278952597175e-06	0.000559713305598897	0	7	7	WM9832
GO:0000790	nuclear chromatin	3.73874866509586	1.23304594659146e-05	0.000622003177502803	0	7	7	WM9832
GO:0042393	histone binding	4.86946050096339	1.69217478640515e-05	0.000721988768163923	0	7	7	WM9832
GO:0043209	myelin sheath	5.37938099070754	1.74931199334871e-05	0.000721988768163923	0	7	7	WM9832
GO:0005200	structural constituent of cytoskeleton	6.7322154180736	2.48990398512561e-05	0.000942013674372522	0	7	7	WM9832
GO:0000792	heterochromatin	7.82841496805598	3.0523441939545e-05	0.0010659725108118	0	7	7	WM9832
GO:0031490	chromatin DNA binding	6.41465808703239	3.53514542326128e-05	0.0011449789379705	0	7	7	WM9832
GO:0003697	single-stranded DNA binding	6.35470801145265	3.78297005937389e-05	0.0011449789379705	0	7	7	WM9832
GO:0015631	tubulin binding	3.44213350620352	0.000110341030637118	0.00313092674432822	0	7	7	WM9832
GO:0032993	protein-DNA complex	4.69293237348842	0.000133175335178759	0.00355656483359745	0	7	7	WM9832
GO:0042826	histone deacetylase binding	5.40872306883868	0.000318001050369388	0.00802069315931678	0	7	7	WM9832
GO:0097472	cyclin-dependent protein kinase activity	9.18856428683018	0.000902805847671551	0.0215723081496255	0	7	7	WM9832
GO:0003774	motor activity	4.4071076857204	0.00108285555351917	0.0245808210648851	0	7	7	WM9832
GO:0005681	spliceosomal complex	3.86337362059905	0.00113739811740055	0.0245894640618975	0	7	7	WM9832
GO:0048770	pigment granule	4.85681255161024	0.00149703463022433	0.0308933510055384	0	7	7	WM9832
GO:0120114	Sm-like protein family complex	5.66628131021195	0.00188990081043805	0.037304998606038	0	7	7	WM9832
GO:0003924	GTPase activity	2.90082660932352	0.00248189263594489	0.0450941342510884	0	7	7	WM9832
GO:0034708	methyltransferase complex	4.39625274068168	0.00248315717241676	0.0450941342510884	0	7	7	WM9832
GO:0005635	nuclear envelope	2.42840627580512	0.00284478417946588	0.0496743083645195	0	7	7	WM9832
GO:0046982	protein heterodimerization activity	2.36095054592164	0.00361491320268148	0.0607840960747182	0	7	7	WM9832
GO:0045171	intercellular bridge	5.76231997648672	0.00509275611028892	0.0825754026453989	0	7	7	WM9832
GO:0001882	nucleoside binding	2.4347302504817	0.00579910442953857	0.0907859796900176	0	7	7	WM9832
GO:0019001	guanyl nucleotide binding	2.39727286201275	0.00649068731984892	0.0982257347737137	0	7	7	WM9832
GO:0043394	proteoglycan binding	7.28521882741536	0.0079474379381459	0.116391510448975	0	7	7	WM9832
GO:0032153	cell division site	4.92720113931474	0.00883718181277149	0.121578198272674	0	7	7	WM9832
GO:0003684	damaged DNA binding	4.92720113931474	0.00883718181277149	0.121578198272674	0	7	7	WM9832
GO:0019207	kinase regulator activity	2.91646832143262	0.0105110593498097	0.138888164627408	0	7	7	WM9832
GO:0030547	receptor inhibitor activity	6.5380168963984	0.0107241799538951	0.138888164627408	0	7	7	WM9832
GO:0050839	cell adhesion molecule binding	2.13374610007981	0.0110131584286051	0.138888164627408	0	7	7	WM9832
GO:0044450	microtubule organizing center part	2.86497369617458	0.0187934550465573	0.230600772733433	0	7	7	WM9832
GO:0005697	telomerase holoenzyme complex	8.49942196531792	0.022757280592747	0.258002263338394	0	7	7	WM9832
GO:0036019	endolysosome	8.49942196531792	0.022757280592747	0.258002263338394	0	7	7	WM9832
GO:0043073	germ cell nucleus	8.49942196531792	0.022757280592747	0.258002263338394	0	7	7	WM9832
GO:0008022	protein C-terminus binding	2.72708726159933	0.0232997638697668	0.258002263338394	0	7	7	WM9832
GO:0044389	ubiquitin-like protein ligase binding	2.28172401753501	0.0248278067675678	0.26837676839228	0	7	7	WM9832
GO:0004857	enzyme inhibitor activity	2.12485549132948	0.0267229400904107	0.281150435186228	0	7	7	WM9832
GO:0070840	dynein complex binding	7.72674724119811	0.0272480597977842	0.281150435186228	0	7	7	WM9832
GO:0061695	transferase complex, transferring phosphorus-containing groups	2.34236038414273	0.0307633019529995	0.309713781363572	0	7	7	WM9832
GO:0035327	transcriptionally active chromatin	7.08285163776493	0.0320628804495328	0.309713781363572	0	7	7	WM9832
GO:0000217	DNA secondary structure binding	7.08285163776493	0.0320628804495328	0.309713781363572	0	7	7	WM9832
GO:0016887	ATPase activity	1.94050729801779	0.0344886454712501	0.32620510508224	0	7	7	WM9832
GO:0000287	magnesium ion binding	2.41689724132263	0.0387098395713057	0.358658513579036	0	7	7	WM9832
GO:0035770	ribonucleoprotein granule	2.38301550429474	0.0410030377182372	0.365938797201696	0	7	7	WM9832
GO:0042287	MHC protein binding	6.0710156895128	0.0425955431142605	0.365938797201696	0	7	7	WM9832
GO:0097718	disordered domain specific binding	6.0710156895128	0.0425955431142605	0.365938797201696	0	7	7	WM9832
GO:0090734	site of DNA damage	3.86337362059905	0.0427197274266297	0.365938797201696	0	7	7	WM9832
GO:0031983	vesicle lumen	2.01766693538704	0.0460229334754717	0.386933551812299	0	7	7	WM9832
GO:0005657	replication fork	3.69540085448605	0.0476969356578039	0.39141601272018	0	7	7	WM9832
GO:0000803	sex chromosome	5.66628131021195	0.0482803892342072	0.39141601272018	0	7	7	WM9832
GO:0005775	vacuolar lumen	2.49982998979939	0.050554893391811	0.402665291226003	0	7	7	WM9832
