geneSet	description	enrichmentRatio	pValue	FDR	alpha	lin	tr	sample_id
GO:0048770	pigment granule	16.0043537414966	3.37909521475055e-08	1.53410922749675e-05	0	0	0	YG3
GO:0098589	membrane region	5.18659611992945	0.000146701779613512	0.0333013039722672	0	0	0	YG3
GO:0001227	DNA-binding transcription repressor activity, RNA polymerase II-specific	5.50711610486891	0.000271862344349394	0.0411418347782083	0	0	0	YG3
GO:0031012	extracellular matrix	3.38801843317972	0.00238689731335073	0.270912845065308	0	0	0	YG3
GO:0042383	sarcolemma	6.27036247334755	0.00379943116492865	0.344988349775521	0	0	0	YG3
GO:0005811	lipid droplet	8.18404452690167	0.0058767424900894	0.353939983274824	0	0	0	YG3
GO:0043209	myelin sheath	5.31790235081374	0.00679174617206524	0.353939983274824	0	0	0	YG3
GO:0043178	alcohol binding	7.68501742160279	0.00699565577956696	0.353939983274824	0	0	0	YG3
GO:0046875	ephrin receptor binding	15.5597883597884	0.00726137545658645	0.353939983274824	0	0	0	YG3
GO:0097718	disordered domain specific binding	15.0040816326531	0.0077960348738948	0.353939983274824	0	0	0	YG3
GO:0032947	protein-containing complex scaffold activity	7.00190476190476	0.00903315124780946	0.372822787864136	0	0	0	YG3
GO:0043394	proteoglycan binding	12.0032653061224	0.0120116666876687	0.454441389683467	0	0	0	YG3
GO:0061134	peptidase regulator activity	3.9821259309411	0.0180912538214514	0.513947293699992	0	0	0	YG3
GO:0008307	structural constituent of muscle	9.54805194805195	0.0185805840734726	0.513947293699992	0	0	0	YG3
GO:0002020	protease binding	5.08202764976959	0.0212730076312611	0.513947293699992	0	0	0	YG3
GO:0051018	protein kinase A binding	8.75238095238095	0.0218873190179363	0.513947293699992	0	0	0	YG3
GO:0010008	endosome membrane	2.73393244499535	0.0222725763540118	0.513947293699992	0	0	0	YG3
GO:0005769	early endosome	3.09818794774547	0.0225923644594281	0.513947293699992	0	0	0	YG3
GO:0005802	trans-Golgi network	3.70144745122719	0.0229569379260501	0.513947293699992	0	0	0	YG3
GO:0070888	E-box binding	8.40228571428571	0.0236254451058042	0.513947293699992	0	0	0	YG3
GO:0046982	protein heterodimerization activity	2.69304029304029	0.0237728924398675	0.513947293699992	0	0	0	YG3
GO:0005507	copper ion binding	7.37042606516291	0.0301337522626625	0.621851069420398	0	0	0	YG3
GO:0005201	extracellular matrix structural constituent	3.98842676311031	0.0394994016268078	0.779683840807423	0	0	0	YG3
GO:0031225	anchored component of membrane	3.77348160821215	0.0453153710715936	0.845910305176028	0	0	0	YG3
GO:0019898	extrinsic component of membrane	2.92762568442011	0.0478304609790519	0.845910305176028	0	0	0	YG3
GO:0052813	phosphatidylinositol bisphosphate kinase activity	5.67722007722008	0.0484442024990677	0.845910305176028	0	0	0	YG3
GO:0046332	SMAD binding	5.25142857142857	0.0556628882022328	0.879980680061834	0	0	0	YG3
GO:0051219	phosphoprotein binding	5.18659611992945	0.0569008726656347	0.879980680061834	0	0	0	YG3
GO:1990782	protein tyrosine kinase binding	5.18659611992945	0.0569008726656347	0.879980680061834	0	0	0	YG3
GO:0035004	phosphatidylinositol 3-kinase activity	5.12334494773519	0.0581485030877864	0.879980680061834	0	0	0	YG3
GO:0001228	DNA-binding transcription activator activity, RNA polymerase II-specific	2.36550836550837	0.0601362427005608	0.880704973743697	0	0	0	YG3
GO:0019208	phosphatase regulator activity	4.77402597402597	0.0658303655545139	0.933968311304666	0	0	0	YG3
GO:0031091	platelet alpha granule	4.61664050235479	0.0697922423870385	0.949795304802086	0	0	0	YG3
GO:0005496	steroid binding	4.56645962732919	0.0711300448530197	0.949795304802086	0	0	0	YG3
GO:0004497	monooxygenase activity	4.42225563909774	0.075193464250186	0.973087291445057	0	0	0	YG3
