geneSet	description	enrichmentRatio	pValue	FDR	alpha	lin	tr	sample_id
GO:0003735	structural constituent of ribosome	13.2419517102616	2.34652016706249e-08	5.18998505727453e-06	0	6	6	Kleind2ws
GO:0044445	cytosolic part	9.28625028861695	2.35908411694297e-08	5.18998505727453e-06	0	6	6	Kleind2ws
GO:0005840	ribosome	9.62551006976438	7.73373238782682e-08	1.1342807502146e-05	0	6	6	Kleind2ws
GO:0005791	rough endoplasmic reticulum	13.2284532885386	9.44841938577134e-07	0.000103932613243485	0	6	6	Kleind2ws
GO:0051082	unfolded protein binding	13.2894139027715	5.76983609246184e-06	0.000507745576136642	0	6	6	Kleind2ws
GO:0003729	mRNA binding	7.35663983903421	1.2403916745285e-05	0.000909620561320897	0	6	6	Kleind2ws
GO:0033218	amide binding	5.28169014084507	4.7862461642123e-05	0.00300849758893345	0	6	6	Kleind2ws
GO:0005635	nuclear envelope	4.58765958781643	5.81047948807756e-05	0.00319576371844266	0	6	6	Kleind2ws
GO:0043209	myelin sheath	6.93221830985916	6.54607160821552e-05	0.00320030167512759	0	6	6	Kleind2ws
GO:0001530	lipopolysaccharide binding	22.887323943662	0.000294978529935541	0.0129790553171638	0	6	6	Kleind2ws
GO:0030141	secretory granule	4.24713227820531	0.000564444860134739	0.0225777944053895	0	6	6	Kleind2ws
GO:0016209	antioxidant activity	10.0480934386809	0.000670476200810843	0.0245841273630643	0	6	6	Kleind2ws
GO:0008135	translation factor activity, RNA binding	9.47061680427392	0.00083786465487623	0.0283584960111955	0	6	6	Kleind2ws
GO:0003697	single-stranded DNA binding	8.32266325224072	0.0013564301921738	0.042630663182605	0	6	6	Kleind2ws
GO:0030055	cell-substrate junction	5.65895372233401	0.00189417168960604	0.0555623695617771	0	6	6	Kleind2ws
GO:0004857	enzyme inhibitor activity	3.8865267074143	0.00210717659875059	0.0579473564656413	0	6	6	Kleind2ws
GO:0002039	p53 binding	9.22324994744587	0.00420567421425555	0.101538550569168	0	6	6	Kleind2ws
GO:0048306	calcium-dependent protein binding	9.22324994744587	0.00420567421425555	0.101538550569168	0	6	6	Kleind2ws
GO:0019843	rRNA binding	9.08761391880696	0.00438461922912314	0.101538550569168	0	6	6	Kleind2ws
GO:0061134	peptidase regulator activity	4.36410837908809	0.00575269200628326	0.126559224138232	0	6	6	Kleind2ws
GO:0043230	extracellular organelle	6.86619718309859	0.00952818460617011	0.19732790423427	0	6	6	Kleind2ws
GO:0098636	protein complex involved in cell adhesion	13.2894139027715	0.00986639521171351	0.19732790423427	0	6	6	Kleind2ws
GO:0008180	COP9 signalosome	12.8741197183099	0.010491382831745	0.197560606088694	0	6	6	Kleind2ws
GO:0030139	endocytic vesicle	4.62889697736984	0.0109458824489478	0.197560606088694	0	6	6	Kleind2ws
GO:0019207	kinase regulator activity	4.57746478873239	0.0113683470732684	0.197560606088694	0	6	6	Kleind2ws
GO:0048770	pigment granule	6.37069841730797	0.0116740358143319	0.197560606088694	0	6	6	Kleind2ws
GO:1901567	fatty acid derivative binding	11.7706237424547	0.0124683056138839	0.203187202596627	0	6	6	Kleind2ws
GO:0035770	ribonucleoprotein granule	4.07892901966253	0.016720593759403	0.255888603929936	0	6	6	Kleind2ws
GO:0043028	cysteine-type endopeptidase regulator activity involved in apoptotic process	10.0480934386809	0.0168653852590185	0.255888603929936	0	6	6	Kleind2ws
GO:0001047	core promoter binding	9.58074025548641	0.0184574362015602	0.270709064289549	0	6	6	Kleind2ws
GO:0005788	endoplasmic reticulum lumen	5.28169014084507	0.01923309259655	0.272985830402646	0	6	6	Kleind2ws
GO:0070161	anchoring junction	3.17879499217527	0.0204945910943495	0.281800627547305	0	6	6	Kleind2ws
GO:0043177	organic acid binding	3.79697540079185	0.0211455491311014	0.281940655081353	0	6	6	Kleind2ws
GO:0031072	heat shock protein binding	4.7903701277432	0.024804051412243	0.320993606511379	0	6	6	Kleind2ws
GO:0002020	protease binding	4.6814980793854	0.0263189088009568	0.330866282069171	0	6	6	Kleind2ws
