geneSet	description	enrichmentRatio	pValue	FDR	alpha	lin	tr	sample_id
GO:0003735	structural constituent of ribosome	54.5695006747638	0	0	0	10	10	MDA1
GO:0005840	ribosome	37.1739829924155	6.66133814775094e-16	1.51212375953946e-13	0	10	10	MDA1
GO:0044445	cytosolic part	34.8886971527179	1.33226762955019e-15	2.01616501271928e-13	0	10	10	MDA1
GO:0030055	cell-substrate junction	13.180688948649	4.77352183780866e-07	5.41794728591283e-05	0	10	10	MDA1
GO:0019843	rRNA binding	35.7182186234818	7.59542318948814e-05	0.00689664425605523	0	10	10	MDA1
GO:0005844	polysome	31.803893294881	0.00010744711276045	0.00813016486554075	0	10	10	MDA1
GO:0031983	vesicle lumen	6.88927065438076	0.00880462439503704	0.571042782192403	0	10	10	MDA1
GO:0030496	midbody	36.8521303258145	6.29904706173079e-09	1.75652555056693e-06	0	2	2	MDA1
GO:0005819	spindle	22.4146341463415	7.73799802011865e-09	1.75652555056693e-06	0	2	2	MDA1
GO:0005874	microtubule	18.2885572139304	3.15221850843983e-08	4.77035734277228e-06	0	2	2	MDA1
GO:0000793	condensed chromosome	18.8392056374119	4.57484559193144e-05	0.00519244974684219	0	2	2	MDA1
GO:0008022	protein C-terminus binding	16.8495034377387	0.000664485038841089	0.0603352415267709	0	2	2	MDA1
GO:0045171	intercellular bridge	35.6029055690073	0.0013964091443035	0.105661625252298	0	2	2	MDA1
GO:0015631	tubulin binding	9.81575433911883	0.00313767117540842	0.203500387662203	0	2	2	MDA1
GO:0003774	motor activity	15.5597883597884	0.0070833167807407	0.349120359274702	0	2	2	MDA1
GO:0016887	ATPase activity	7.19373776908024	0.00748026560410597	0.349120359274702	0	2	2	MDA1
GO:0005635	nuclear envelope	6.92496075353218	0.00830746679464123	0.349120359274702	0	2	2	MDA1
GO:0005875	microtubule associated complex	14.1930501930502	0.00845886333044432	0.349120359274702	0	2	2	MDA1
GO:0070840	dynein complex binding	47.7402597402597	0.0207532703837071	0.785165396183586	0	2	2	MDA1
GO:0000217	DNA secondary structure binding	43.7619047619048	0.0226199621648923	0.789958678681622	0	2	2	MDA1
GO:0042287	MHC protein binding	37.5102040816327	0.0263434371305409	0.826489821191409	0	2	2	MDA1
GO:0030332	cyclin binding	35.0095238095238	0.028200231109045	0.826489821191409	0	2	2	MDA1
GO:0050699	WW domain binding	33.8801843317972	0.0291273945794329	0.826489821191409	0	2	2	MDA1
GO:0044389	ubiquitin-like protein ligase binding	7.04889741131352	0.0317247637920763	0.827991092814811	0	2	2	MDA1
GO:0044215	other organism	30.0081632653061	0.0328278406842877	0.827991092814811	0	2	2	MDA1
GO:0097472	cyclin-dependent protein kinase activity	28.3861003861004	0.0346731484642703	0.828505758040985	0	2	2	MDA1
GO:0098687	chromosomal region	6.34613724643936	0.0384605664059658	0.873054857415425	0	2	2	MDA1
GO:0005080	protein kinase C binding	21.4344023323615	0.0456765182961969	0.978786843140713	0	2	2	MDA1
GO:0033267	axon part	5.61650114591291	0.0479912660776506	0.978786843140713	0	2	2	MDA1
GO:0001882	nucleoside binding	5.4702380952381	0.0503229746762632	0.978786843140713	0	2	2	MDA1
GO:0019001	guanyl nucleotide binding	5.38608058608059	0.0517420357607425	0.978786843140713	0	2	2	MDA1
GO:0048306	calcium-dependent protein binding	163.377777777778	4.89936002445734e-05	0.0222430945110363	0	7	7	MDA1
GO:0031012	extracellular matrix	19.7634408602151	0.00333063938972211	0.756055141466919	0	7	7	MDA1
GO:0031091	platelet alpha granule	161.582417582418	3.7882833087588e-05	0.017198806221765	0	5	5	MDA1
GO:0031983	vesicle lumen	43.6320474777448	0.000523754451302261	0.118892260445613	0	5	5	MDA1
