geneSet	description	enrichmentRatio	pValue	FDR	alpha	lin	tr	sample_id
GO:0005911	cell-cell junction	5.37780703679321	1.41490213036999e-05	0.00642365567187975	0	1	1	NJ
GO:0050839	cell adhesion molecule binding	4.46537994331219	0.000164856135586255	0.03742234277808	0	1	1	NJ
GO:0016328	lateral plasma membrane	12.705069124424	0.0016878418848767	0.222660232554065	0	1	1	NJ
GO:0098631	cell adhesion mediator activity	12.0590486604702	0.00196176416347194	0.222660232554065	0	1	1	NJ
GO:0033612	receptor serine/threonine kinase binding	21.5601173020528	0.00382731001948367	0.303089160682953	0	1	1	NJ
GO:0004857	enzyme inhibitor activity	3.95268817204301	0.00400558362136061	0.303089160682953	0	1	1	NJ
GO:0043178	alcohol binding	8.67663257277734	0.00498974722727197	0.323620748740211	0	1	1	NJ
GO:0030055	cell-substrate junction	3.46220861784789	0.00755590365437731	0.428797532385912	0	1	1	NJ
GO:0005200	structural constituent of cytoskeleton	7.04439476205685	0.00887383468745295	0.447635660900405	0	1	1	NJ
GO:0098589	membrane region	3.65989645559538	0.011696106310998	0.492061600987763	0	1	1	NJ
GO:0061134	peptidase regulator activity	4.49594863170769	0.0120201092084418	0.492061600987763	0	1	1	NJ
GO:0016323	basolateral plasma membrane	4.39187574671446	0.0130060335062845	0.492061600987763	0	1	1	NJ
GO:0019840	isoprenoid binding	10.7800586510264	0.0147698520969797	0.499895836831756	0	1	1	NJ
GO:0001047	core promoter binding	10.5405017921147	0.0154152901225652	0.499895836831756	0	1	1	NJ
GO:0019838	growth factor binding	5.15568022440393	0.0204522238145251	0.588554777669902	0	1	1	NJ
GO:0045177	apical part of cell	3.16215053763441	0.0207420185962961	0.588554777669902	0	1	1	NJ
GO:0031252	cell leading edge	3.01731921530001	0.024796099573849	0.626923792190513	0	1	1	NJ
GO:0097110	scaffold protein binding	8.17797552836485	0.0248560093820027	0.626923792190513	0	1	1	NJ
GO:0043209	myelin sheath	4.50306247447938	0.0290206355328604	0.693440449048348	0	1	1	NJ
GO:0019898	extrinsic component of membrane	3.30538383724851	0.0327783650019662	0.744068885544632	0	1	1	NJ
GO:0052813	phosphatidylinositol bisphosphate kinase activity	6.40976460331299	0.0389144517702371	0.798479421759479	0	1	1	NJ
GO:0104005	hijacked molecular function	6.32430107526882	0.0398741693844641	0.798479421759479	0	1	1	NJ
GO:0008022	protein C-terminus binding	3.8047265827152	0.0443231425988753	0.798479421759479	0	1	1	NJ
GO:0046332	SMAD binding	5.92903225806452	0.0448056605984308	0.798479421759479	0	1	1	NJ
GO:0035004	phosphatidylinositol 3-kinase activity	5.78442171518489	0.046838621213233	0.798479421759479	0	1	1	NJ
GO:0048018	receptor ligand activity	2.53377446925834	0.0470354292818401	0.798479421759479	0	1	1	NJ
GO:0098858	actin-based cell projection	3.61159325364336	0.0503704456025729	0.798479421759479	0	1	1	NJ
GO:0098687	chromosomal region	2.86599746613391	0.0508074776357396	0.798479421759479	0	1	1	NJ
GO:0030165	PDZ domain binding	5.51537884471118	0.0510041921388214	0.798479421759479	0	1	1	NJ
GO:0031091	platelet alpha granule	5.21233605104573	0.056390998434994	0.853383776316242	0	1	1	NJ
GO:0044455	mitochondrial membrane part	3.10691646710804	0.0722411703388874	0.999636020051584	0	1	1	NJ
GO:0003697	single-stranded DNA binding	4.43292131444076	0.074857890329443	0.999636020051584	0	1	1	NJ
GO:0003714	transcription corepressor activity	3.02759094028826	0.0767495167015836	0.999636020051584	0	1	1	NJ
GO:0001882	nucleoside binding	2.47043010752688	0.0784872317966817	0.999636020051584	0	1	1	NJ
GO:0030506	ankyrin binding	11.858064516129	0.0810870206336501	0.999636020051584	0	1	1	NJ
GO:0019001	guanyl nucleotide binding	2.43242349048801	0.0820194437182902	0.999636020051584	0	1	1	NJ
GO:0022884	macromolecule transmembrane transporter activity	10.7800586510264	0.08883072253956	0.999636020051584	0	1	1	NJ
GO:0005874	microtubule	2.35981383405553	0.0893183737525515	0.999636020051584	0	1	1	NJ
GO:0097386	glial cell projection	10.3113604488079	0.0926784609404965	0.999636020051584	0	1	1	NJ
GO:0002020	protease binding	3.82518210197711	0.0962616802866854	0.999636020051584	0	1	1	NJ
