geneSet	description	enrichmentRatio	pValue	FDR	alpha	lin	tr	sample_id
GO:0030055	cell-substrate junction	9.0956328096004	0	0	0	6	6	WM9831
GO:0044445	cytosolic part	19.4065018060572	0	0	0	6	6	WM9831
GO:0005840	ribosome	20.1335208348753	0	0	0	6	6	WM9831
GO:0003735	structural constituent of ribosome	29.554976097349	0	0	0	6	6	WM9831
GO:0005844	polysome	22.1908521012306	1.67643676718399e-14	1.52220458460306e-12	0	6	6	WM9831
GO:0019843	rRNA binding	19.1707953063885	9.2954088870556e-11	7.03352605787207e-09	0	6	6	WM9831
GO:0050839	cell adhesion molecule binding	4.95312389192256	7.87644616195848e-09	5.10843793932736e-07	0	6	6	WM9831
GO:0048770	pigment granule	11.8676351896691	1.1455335346966e-08	6.50090280940319e-07	0	6	6	WM9831
GO:0101002	ficolin-1-rich granule	6.80929887931833	2.12710348113099e-06	0.000107300553381496	0	6	6	WM9831
GO:0031983	vesicle lumen	4.43715737061812	1.67221524756123e-05	0.000742320085624349	0	6	6	WM9831
GO:0003729	mRNA binding	5.34807594384229	1.79857289468455e-05	0.000742320085624349	0	6	6	WM9831
GO:0043209	myelin sheath	6.30937567045698	4.00552086473605e-05	0.0015154220604918	0	6	6	WM9831
GO:0043292	contractile fiber	4.98440677966102	8.26604058914437e-05	0.00288675571343965	0	6	6	WM9831
GO:0043394	proteoglycan binding	14.2411622276029	0.000170268278673946	0.00552155703699797	0	6	6	WM9831
GO:0031904	endosome lumen	13.8455743879473	0.00019037114068321	0.00576189985801182	0	6	6	WM9831
GO:0070820	tertiary granule	5.3513569720287	0.000340264047246519	0.00965499234061998	0	6	6	WM9831
GO:0099572	postsynaptic specialization	3.66500498504487	0.000409241403730443	0.0105629118345002	0	6	6	WM9831
GO:0098984	neuron to neuron synapse	3.65425716983946	0.000418793861279743	0.0105629118345002	0	6	6	WM9831
GO:0004857	enzyme inhibitor activity	3.46139359698682	0.00063880288144258	0.015264026746049	0	6	6	WM9831
GO:0019838	growth factor binding	5.41783345615328	0.00085431035445338	0.0193928450460917	0	6	6	WM9831
GO:0005200	structural constituent of cytoskeleton	6.16882027185769	0.00131157424726847	0.0283549861076135	0	6	6	WM9831
GO:0072562	blood microparticle	5.76898932831136	0.00176566867988992	0.0364369809395465	0	6	6	WM9831
GO:0030139	endocytic vesicle	3.44941645651281	0.00228833327009481	0.0451697088966541	0	6	6	WM9831
GO:0008307	structural constituent of muscle	8.49614791987673	0.0052514809651133	0.0993405149233932	0	6	6	WM9831
GO:0031012	extracellular matrix	2.51230180426463	0.00657707460892476	0.119439674898074	0	6	6	WM9831
GO:0016667	oxidoreductase activity, acting on a sulfur group of donors	6.33611031312841	0.0118191652365292	0.206380808360932	0	6	6	WM9831
GO:0048306	calcium-dependent protein binding	6.23050847457627	0.0123696904436668	0.207948515866702	0	6	6	WM9831
GO:0042629	mast cell granule	11.3281972265023	0.0132830549782695	0.207948515866702	0	6	6	WM9831
GO:0030742	GTP-dependent protein binding	11.3281972265023	0.0132830549782695	0.207948515866702	0	6	6	WM9831
GO:0031252	cell leading edge	2.53659378099797	0.0138589466901924	0.209732059911578	0	6	6	WM9831
GO:0015629	actin cytoskeleton	2.32674590336873	0.015540697757892	0.227596025228483	0	6	6	WM9831
GO:0005518	collagen binding	5.57955982797875	0.0166324421638737	0.235972773199958	0	6	6	WM9831
GO:0001968	fibronectin binding	9.58539765319426	0.0183033162563986	0.251809260012271	0	6	6	WM9831
GO:0016528	sarcoplasm	4.85494166850099	0.0239809757773355	0.320216558909127	0	6	6	WM9831
GO:0035770	ribonucleoprotein granule	2.91145255821321	0.0290600566081043	0.376950448573696	0	6	6	WM9831
GO:0005791	rough endoplasmic reticulum	4.24807395993837	0.0337831881997364	0.41452884980217	0	6	6	WM9831
GO:0003727	single-stranded RNA binding	4.24807395993837	0.0337831881997364	0.41452884980217	0	6	6	WM9831
GO:0031091	platelet alpha granule	4.10802756565468	0.0367662567048317	0.439260014315621	0	6	6	WM9831
GO:0042581	specific granule	3.11525423728814	0.0399288125604428	0.464812330831821	0	6	6	WM9831
GO:0098589	membrane region	2.30759573132455	0.0463836508532726	0.526454437184644	0	6	6	WM9831
GO:0005775	vacuolar lumen	2.93200398803589	0.0480379159940552	0.531932045397586	0	6	6	WM9831
GO:0048156	tau protein binding	5.53822975517891	0.0505430551485805	0.534847207665946	0	6	6	WM9831
GO:0042562	hormone binding	3.59452411994785	0.0511891285878707	0.534847207665946	0	6	6	WM9831
GO:0003779	actin binding	2.08179280773431	0.0518354121966996	0.534847207665946	0	6	6	WM9831
GO:0051018	protein kinase A binding	5.19209039548023	0.0567093188074674	0.572134016413116	0	6	6	WM9831
GO:0050840	extracellular matrix binding	4.53127889060092	0.0720335725219561	0.710940041847132	0	6	6	WM9831
GO:0005507	copper ion binding	4.37228664882545	0.0766329865771926	0.723933913284193	0	6	6	WM9831
GO:0002020	protease binding	3.01476216511755	0.0778750412598996	0.723933913284193	0	6	6	WM9831
GO:0000049	tRNA binding	4.22407354208561	0.0813229726376516	0.723933913284193	0	6	6	WM9831
