geneSet	description	enrichmentRatio	pValue	FDR	alpha	lin	tr	sample_id
GO:0048770	pigment granule	23.3396825396825	2.08584736272055e-06	0.00094697470267513	0	1	1	YG2
GO:0005201	extracellular matrix structural constituent	12.4084388185654	0.000282881218726327	0.0642140366508763	0	1	1	YG2
GO:0031091	platelet alpha granule	16.1582417582418	0.000824881353339801	0.124832044805423	0	1	1	YG2
GO:0097718	disordered domain specific binding	35.0095238095238	0.00147178137513904	0.14549296806845	0	1	1	YG2
GO:0001227	DNA-binding transcription repressor activity, RNA polymerase II-specific	7.34282147315855	0.00200854451564036	0.14549296806845	0	1	1	YG2
GO:0043394	proteoglycan binding	28.0076190476191	0.00229624571250819	0.14549296806845	0	1	1	YG2
GO:0035326	enhancer binding	11.1393939393939	0.00240474277513791	0.14549296806845	0	1	1	YG2
GO:0017147	Wnt-protein binding	26.4936936936937	0.00256375274129428	0.14549296806845	0	1	1	YG2
GO:0031012	extracellular matrix	4.94086021505376	0.00303417181400256	0.153057111506351	0	1	1	YG2
GO:0070888	E-box binding	19.6053333333333	0.00463871093391022	0.210597476399524	0	1	1	YG2
GO:0005518	collagen binding	14.6308457711443	0.00819460148862283	0.338213552348615	0	1	1	YG2
GO:0005539	glycosaminoglycan binding	6.71415525114155	0.00983860613265231	0.34605038792567	0	1	1	YG2
GO:0003779	actin binding	4.67907716785998	0.00990893181284958	0.34605038792567	0	1	1	YG2
GO:0005802	trans-Golgi network	6.47753303964758	0.0108429147460434	0.351620235335978	0	1	1	YG2
GO:0003714	transcription corepressor activity	6.25702127659574	0.0119049266807101	0.357475403786175	0	1	1	YG2
GO:1901681	sulfur compound binding	6.12666666666667	0.0125982521158123	0.357475403786175	0	1	1	YG2
GO:0050839	cell adhesion molecule binding	4.10153417015342	0.0154710941429075	0.376258591473658	0	1	1	YG2
GO:0099568	cytoplasmic region	4.09297146833681	0.015579403437884	0.376258591473658	0	1	1	YG2
GO:0015629	actin cytoskeleton	4.06749654218534	0.0159072346117994	0.376258591473658	0	1	1	YG2
GO:0001664	G protein-coupled receptor binding	5.52781954887218	0.0165752683468572	0.376258591473658	0	1	1	YG2
GO:0051087	chaperone binding	9.80266666666667	0.0175994822816352	0.380484045517257	0	1	1	YG2
GO:0042562	hormone binding	9.42564102564103	0.0189475357098654	0.391008236921768	0	1	1	YG2
GO:0003924	GTPase activity	5.01843003412969	0.0213750463839298	0.421924828621919	0	1	1	YG2
GO:0005788	endoplasmic reticulum lumen	4.80522875816993	0.0239320221939862	0.452714086502905	0	1	1	YG2
GO:0003713	transcription coactivator activity	4.65316455696202	0.0260080914736105	0.472306941160767	0	1	1	YG2
GO:0098589	membrane region	4.53827160493827	0.0277373019734378	0.484335965228491	0	1	1	YG2
GO:0031983	vesicle lumen	4.36320474777448	0.0306766935718066	0.515822921540748	0	1	1	YG2
GO:0019838	growth factor binding	7.10338164251208	0.0320458467224334	0.519600514713741	0	1	1	YG2
GO:0030506	ankyrin binding	24.5066666666667	0.040049297384408	0.62697865560418	0	1	1	YG2
GO:0001882	nucleoside binding	3.82916666666667	0.0426302417027679	0.628563586533774	0	1	1	YG2
GO:0030742	GTP-dependent protein binding	22.2787878787879	0.0439678592864338	0.628563586533774	0	1	1	YG2
GO:0019001	guanyl nucleotide binding	3.77025641025641	0.0443040413415876	0.628563586533774	0	1	1	YG2
GO:0016769	transferase activity, transferring nitrogenous groups	21.3101449275362	0.0459213373017866	0.631766276818519	0	1	1	YG2
GO:0001968	fibronectin binding	18.8512820512821	0.0517586480483587	0.664643963762399	0	1	1	YG2
